event_type,city,guest_count,total_budget,venue,catering,decoration,photography,entertainment,accommodation,transportation
anniversary,Chennai,136,465838,154611.10031524644,122420.63665160385,91730.39256537202,51854.98635074083,45220.88411703688,,
conference,Hyderabad,763,1739911,696593.3579092295,345102.6584822337,,,288982.20583526103,325323.8312370225,83908.94653625313
anniversary,Chennai,105,314176,107827.23616019245,69550.3005380366,52778.25108434822,52837.584686642556,31182.62753078021,,
anniversary,Hyderabad,44,748143,220109.27464358244,207384.48815153248,126557.88439348512,112750.05181172382,81341.30099967621,,
birthday,Chennai,154,53890,11184.170747617678,13217.072632052063,10128.412785178512,6741.845984280293,12618.497850871454,,
wedding,Mumbai,997,568148,186789.65386023914,143141.2952120134,87708.27234507355,65819.6594783073,31347.657679228483,,53341.46142513818
anniversary,Mumbai,33,824839,231159.72186584232,207182.81754207597,168266.57010967657,97410.65812911258,120819.23235329257,,
corporate,Hyderabad,251,396769,151518.29560656272,120515.8746503934,,,74765.60120922838,27075.433028770054,22893.79550504542
wedding,Pune,819,3866612,1147091.736900874,897127.4036831638,694211.8569788642,560508.0770967872,391051.6348614454,,176621.29047886588
conference,Kolkata,956,1925472,840501.7282505633,519308.0531449279,,,224548.24831709967,188358.4519018155,152755.51838559384
wedding,Ahmedabad,518,2611138,871068.079805521,552272.9400971666,297131.638777473,361729.850558961,362964.7683985109,,165970.72236236755
corporate,Bangalore,456,551279,197091.19968641063,170074.25298839514,,,85484.97153152886,57010.29986178518,41618.27593188015
birthday,Chennai,150,189182,49228.332071777266,54586.49181007757,26636.288001496352,18236.63576081313,40494.25235583567,,
corporate,Mumbai,228,2216716,678883.7830745868,702394.1629007303,,,294347.94814039767,315222.29094440443,225867.81493988063
conference,Kolkata,624,1713475,627606.9601297668,401753.43027987814,,,203744.66183857963,338579.39045965654,141790.55729211873
wedding,Chennai,895,2075557,616318.5432702993,407916.9003710555,287172.9233557529,353067.4891005712,243910.289244006,,167170.85465831522
party,Bangalore,150,211152,60078.60113337735,56739.180008220705,29606.724807793787,11345.47443208598,53382.01961852214,,
birthday,Bangalore,184,431245,127691.17504881274,131341.84462603356,55407.24241976573,34088.03279229798,82716.70511309005,,
wedding,Hyderabad,929,1996176,661025.9944484966,564048.8436433236,285075.5487995262,238338.8753139923,152486.92704927796,,95199.81074538337
wedding,Delhi,101,1313168,415902.86398540385,284151.54648550635,264315.0470228212,177106.0850616547,102437.15896482955,,69255.2984797843
anniversary,Mumbai,99,335167,90620.86947144291,88310.12604570512,74743.18190595199,40902.0895721292,40590.73300477078,,
conference,Hyderabad,297,4800385,1839845.2389285262,1329066.9660058504,,,848634.444817069,543020.6529865908,239817.69726196368
conference,Delhi,445,4635314,1907599.304497352,1058614.9749064608,,,782217.7664277225,558367.0544632347,328514.8997052299
corporate,Ahmedabad,490,1256731,378654.316273593,416504.27139624296,,,228318.1933035151,141074.90005706943,92179.31896957962
corporate,Ahmedabad,109,2404664,702400.3470383008,753112.0706964451,,,423362.02248093515,297827.3915052506,227962.16827906898
wedding,Bangalore,230,4614639,1321463.7802661746,946711.3791824979,728754.0452599878,743259.4690026803,565243.2487338828,,309207.0775547769
anniversary,Pune,141,803714,232843.83673452257,238395.83130133268,134710.03158405022,103897.73478229214,93866.5655978024,,
party,Delhi,198,242207,59438.49626149294,68784.81367972448,32201.220657189922,13658.211877535186,68124.25752405748,,
birthday,Bangalore,52,382415,96958.87741064858,114740.06653730468,47685.92163059486,41561.8414340684,81468.29298738351,,
party,Chennai,37,255362,63956.34699440089,80088.55669112252,38330.55811863827,12153.73951841096,60832.798677427396,,
conference,Hyderabad,291,4272962,1591242.2655650615,835685.3652853699,,,744846.3030495788,750016.768581859,351171.29751813086
birthday,Hyderabad,56,375352,94430.44212450512,94426.10762376296,63321.49273991218,43630.93643934485,79543.02107247492,,
conference,Chennai,355,4351424,1647366.4571137975,980780.4925607479,,,576513.5731808497,762329.1120432786,384434.36510132614
party,Ahmedabad,61,292289,81503.9082139224,87225.14661279222,39522.86523128392,15256.370109014084,68780.70983298734,,
wedding,Bangalore,138,998863,249039.25451343032,250445.03521721953,166443.1757618733,161365.48054476557,125985.61038163224,,45584.44358107895
wedding,Hyderabad,420,4428083,1263299.4983430603,1177722.8276756038,927039.0004201137,516322.77869915037,259258.39011626528,,284440.5047458068
party,Delhi,92,143848,39238.40097906532,43937.42540396359,16452.207225697715,6579.559817039272,37640.40657423411,,
party,Delhi,130,249099,62016.72876121795,80402.35707837375,39903.509721676885,12293.962629098358,54482.44180963303,,
conference,Ahmedabad,449,949395,352060.39559971186,229799.17427386183,,,150394.27701392738,172155.9219791427,44985.2311333563
party,Delhi,149,136672,33457.36447974243,43301.40985246501,15107.031143740194,14183.204795433618,30622.989728618755,,
wedding,Hyderabad,740,3720468,1046497.4764200769,844166.654704245,606465.8810088227,489424.6129272808,475470.1188090823,,258443.25613049258
conference,Bangalore,546,4199391,1690013.5553790887,1172303.5858130513,,,449898.78568998707,672470.548772517,214704.52434535587
party,Bangalore,98,143468,31425.89913453125,42189.38292656745,17637.55569339723,7503.233833609114,44711.92841189496,,
corporate,Ahmedabad,88,1369748,460294.6060147972,407800.1382268684,,,226931.52038796412,199334.5193911493,75387.21597922103
anniversary,Mumbai,124,750419,185541.10793930956,216384.54268747524,147606.44333330786,113551.97461694287,87334.93142296463,,
corporate,Bangalore,433,249115,87810.05783309032,79709.67487595105,,,40499.42345341231,15176.712619124159,25919.13121842216
